productid,avg_score,num_reviews
0006641040,4.351351351351352,37
141278509X,5.0,1
2734888454,3.5,2
2841233731,5.0,1
7310172001,4.7514450867052025,173
7310172101,4.7514450867052025,173
7800648702,4.0,2
9376674501,5.0,1
B00002N8SM,1.7894736842105263,38
B00002NCJC,4.5,2
B00002Z754,5.0,2
B00004CI84,4.4867724867724865,189
B00004CXX9,4.4051282051282055,195
B00004RAMS,3.6333333333333333,30
B00004RAMV,2.111111111111111,9
B00004RAMX,3.64,25
B00004RAMY,4.104651162790698,172
B00004RBDU,3.8421052631578947,95
B00004RBDW,4.0,31
B00004RBDZ,3.6271186440677967,59
B00004RYGX,4.4867724867724865,189
B00004S1C5,4.0,18
B00004S1C6,4.590163934426229,61
B000052Y74,3.6,5
B00005344V,4.882352941176471,17
B0000535LF,5.0,1
B0000537KC,4.25,16
B00005C2JE,5.0,1
B00005C2M2,4.48,50
B00005C2M3,3.2857142857142856,7
B00005IX96,3.75,16
B00005IX97,3.75,16
B00005IX98,3.75,16
B00005OMWO,4.75,4
B00005OMWQ,4.375,8
B00005U2FA,4.450704225352113,71
B00005V3DC,5.0,3
B0000643LM,5.0,3
B0000691JF,4.333333333333333,3
B000069KQW,5.0,1
B00006FMLY,4.333333333333333,3
B00006G930,2.875,8
B00006IDJO,1.0,1
B00006IDJU,4.0,2
B00006IDK9,4.2,5
B00006L2ZT,5.0,8
B00006LL38,3.909090909090909,11
B00008433V,3.8333333333333335,6
B000084346,5.0,1
B00008434E,5.0,1
B00008434F,3.0,4
B00008437P,3.0,2
B000084388,4.75,4
B000084DVR,5.0,2
B000084DWM,3.6,80
B000084DXS,5.0,2
B000084DYL,3.5,2
B000084E1U,5.0,1
B000084E66,3.7142857142857144,14
B000084E6V,4.107344632768362,177
B000084E6Y,4.0,1
B000084E76,3.5555555555555554,18
B000084E7R,5.0,2
B000084E9J,3.0,1
B000084E9M,5.0,10
B000084EA6,5.0,3
B000084EAD,5.0,1
B000084EBE,5.0,1
B000084EBL,5.0,1
B000084EBO,5.0,2
B000084ED0,5.0,1
B000084EHL,4.2,5
B000084EHT,5.0,4
B000084EHV,4.333333333333333,6
B000084EI0,5.0,1
B000084EIQ,3.6666666666666665,3
B000084EIZ,5.0,1
B000084EJO,4.0,1
B000084EJP,5.0,3
B000084EJQ,4.0,1
B000084EJR,4.0,1
B000084EJS,4.0,1
B000084EJT,4.0,1
B000084EJY,4.5,2
B000084EK4,3.0,1
B000084EK5,5.0,1
B000084EK6,5.0,1
B000084EK7,4.0,1
B000084EK8,3.0,1
B000084EK9,3.6666666666666665,3
B000084EKA,4.0,1
B000084EKB,4.0,1
B000084EKC,5.0,1
B000084EKD,2.0,1
B000084EKG,5.0,2
B000084EKL,5.0,1
B000084EKM,4.0,1
B000084EKO,3.0,1
B000084EKQ,3.0,1
B000084EKW,4.333333333333333,3
B000084EKY,4.8,5
B000084EL4,4.0,6
B000084ELB,5.0,1
B000084ELC,5.0,1
B000084ELP,5.0,1
B000084EOF,5.0,1
B000084EOH,4.25,4
B000084EOQ,4.5,2
B000084ERQ,5.0,2
B000084ERR,4.0,1
B000084ERU,5.0,1
B000084ERX,5.0,1
B000084ESM,4.333333333333333,6
B000084ET4,1.0,1
B000084ETV,3.6923076923076925,130
B000084ETY,3.2,5
B000084EU0,5.0,1
B000084EUI,5.0,2
B000084EVG,4.5,2
B000084EVH,5.0,1
B000084EWU,5.0,2
B000084EXJ,5.0,1
B000084EYJ,5.0,1
B000084EYZ,5.0,1
B000084EZ4,4.19620253164557,158
B000084EZE,5.0,1
B000084F04,3.515151515151515,66
B000084F07,5.0,1
B000084F0P,4.666666666666667,6
B000084F10,4.0,2
B000084F11,5.0,1
B000084F1I,4.211538461538462,52
B000084F1L,3.0,2
B000084F1O,4.25,8
B000084F1Z,4.0,4
B000084F3O,4.166666666666667,12
B000084F3X,4.0,5
B000084F44,4.777777777777778,9
B000084F5E,4.086956521739131,23
B000084F5K,5.0,1
B000084F5N,5.0,1
B000084F5Y,5.0,2
B000084F62,5.0,1
B000084F67,2.0,1
B000084F68,5.0,1
B000084F6E,5.0,1
B000084F6F,4.466666666666667,15
B000084F85,4.0,1
B000087BJ3,5.0,2
B000087BJ4,5.0,1
B000089D9T,5.0,2
B00008CQV5,5.0,2
B00008CQVA,4.19620253164557,158
B00008DF6C,5.0,1
B00008DF91,3.7142857142857144,7
B00008DFAM,3.6666666666666665,3
B00008DFB0,5.0,1
B00008DFB5,2.5,4
B00008DFDJ,5.0,1
B00008DFK5,3.9302325581395348,43
B00008DFNJ,5.0,1
B00008DFNV,4.75,4
B00008DFOG,4.375,8
B00008DFOM,1.0,1
B00008DFP1,5.0,1
B00008DFPY,4.5,2
B00008DFR5,5.0,3
B00008DFTH,3.5,2
B00008DFTP,5.0,3
B00008GKAO,4.0,1
B00008GKAV,1.0,2
B00008GKB1,4.5,2
B00008GQ4F,3.5,6
B00008GQ50,3.6666666666666665,3
B00008JOL0,4.744897959183674,98
B00008MOF8,5.0,1
B00008MOFD,5.0,2
B00008MOI8,5.0,1
B00008MOIF,2.0,12
B00008MOIK,3.0,1
B00008MOJ2,4.125,8
B00008O35V,3.6666666666666665,3
B00008O36H,2.5,6
B00008Q37R,5.0,2
B00008Q3B7,4.5,6
B00008RCMI,4.666666666666667,3
B00008WUA9,4.0,15
B000093HKC,3.5714285714285716,7
B000093HOV,4.0,1
B000096O8Y,5.0,4
B000096OIV,5.0,1
B00009KF1J,3.2857142857142856,7
B00009KF1K,5.0,1
B00009LIAO,3.0,1
B00009ND79,5.0,1
B00009ND7A,4.5,2
B00009OLE2,3.0,6
B00009OLEP,4.555555555555555,9
B00009OLEW,5.0,2
B00009OLFC,5.0,2
B00009OLJ6,2.0,1
B00009ZIY2,2.6,10
B00009ZJ2Y,4.0,1
B00009ZJ48,4.857142857142857,7
B0000A0BS5,3.25,4
B0000A0BS8,4.5,2
B0000A1ODP,4.25,4
B0000A1ODW,4.25,4
B0000A1OEF,3.4,5
B0000A1OEJ,1.0,1
B0000AE5ZC,5.0,2
B0000AE5ZD,3.4,5
B0000AE5ZE,3.4,5
B0000AE623,3.5,2
B0000AE62K,5.0,3
B0000AH3OQ,1.0,1
B0000AH3OX,5.0,2
B0000AH3P3,5.0,1
B0000AH3QT,3.5,2
B0000AH3QW,3.857142857142857,7
B0000AH3R1,5.0,2
B0000AH3RM,4.833333333333333,6
B0000AH3RP,3.3333333333333335,3
B0000AH3RR,3.75,4
B0000AH3UI,5.0,1
B0000AH3UK,4.764705882352941,17
B0000AH9XL,5.0,3
B0000AH9XO,5.0,1
B0000AHA22,5.0,2
B0000AJ0PQ,3.0,1
B0000BXJIO,4.5,8
B0000BXJIS,5.0,5
B0000BXJIU,4.333333333333333,3
B0000BXJO8,4.0,6
B0000BYDG9,2.3333333333333335,3
B0000BYSQ0,4.0,4
B0000C69FB,4.7727272727272725,22
B0000C69FI,4.5,2
B0000C69FP,5.0,1
B0000CA4TK,5.0,6
B0000CAV3A,5.0,2
B0000CAV3B,4.0,1
B0000CAV3C,5.0,3
B0000CAV3W,5.0,1
B0000CAV3Y,4.0,1
B0000CCZV6,5.0,1
B0000CCZYY,5.0,5
B0000CD019,4.0,1
B0000CD06J,3.88,25
B0000CD9PL,5.0,1
B0000CD9PM,5.0,1
B0000CD9TF,3.5,4
B0000CD9TH,5.0,1
B0000CD9V4,3.5,4
B0000CDAY2,4.769230769230769,13
B0000CDBPL,5.0,2
B0000CDBPT,5.0,7
B0000CDBPV,4.75,4
B0000CDBPW,5.0,7
B0000CDBPX,5.0,7
B0000CDBPZ,5.0,1
